Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
sample_save.c(192): lr_think_time: 16.00 seconds.	[MsgId: MMSG-15948]
sample_save.c(194): web_submit_data("speInputInfoTestItem.action") started  	[MsgId: MMSG-26355]
sample_save.c(194): web_submit_data("speInputInfoTestItem.action") was successful, 24 body bytes, 216 header bytes, 11 chunking overhead bytes  	[MsgId: MMSG-26385]
sample_save.c(210): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
sample_save.c(210): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
sample_save.c(218): web_reg_save_param_ex started  	[MsgId: MMSG-26355]
sample_save.c(218): Registering web_reg_save_param_ex was successful  	[MsgId: MMSG-26390]
sample_save.c(316): web_custom_request("speInputValidateSetLab.action") started  	[MsgId: MMSG-26355]
sample_save.c(316): Error -26377: No match found for the requested parameter "spe_id". Check whether the requested boundaries exist in the response data. Also, if the data you want to save exceeds 256 bytes, use web_set_max_html_param_len to increase the parameter size  	[MsgId: MERR-26377]
sample_save.c(316): Error -26377: No match found for the requested parameter "bar_code". Check whether the requested boundaries exist in the response data. Also, if the data you want to save exceeds 256 bytes, use web_set_max_html_param_len to increase the parameter size  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


